tool,experiment,folder,group,n_windows,n_stream,n_scored,n_refused,threshold,roc_auc,auc_refusal,first_anomaly_window,last_anomaly_window,n_pre,n_pre_fired,detected,delay_windows,n_post,n_post_fired,recovered,refusal
clock,valve1__0,valve1,labelled,20,17,17,0,2.0,0.7,,10.0,16.0,7.0,7.0,True,0.0,3.0,3.0,False,
clock,valve1__1,valve1,labelled,21,18,18,0,2.0,0.7,,10.0,17.0,7.0,7.0,True,0.0,3.0,3.0,False,
clock,valve1__10,valve1,labelled,20,17,17,0,2.0,0.7,,10.0,16.0,7.0,7.0,True,0.0,3.0,3.0,False,
clock,valve1__11,valve1,labelled,21,18,18,0,2.0,0.7,,10.0,17.0,7.0,7.0,True,0.0,3.0,3.0,False,
clock,valve1__12,valve1,labelled,21,18,18,0,2.0,0.7,,10.0,17.0,7.0,7.0,True,0.0,3.0,3.0,False,
clock,valve1__13,valve1,labelled,20,17,17,0,2.0,0.7,,10.0,16.0,7.0,7.0,True,0.0,3.0,3.0,False,
clock,valve1__14,valve1,labelled,20,17,17,0,2.0,0.7,,10.0,16.0,7.0,7.0,True,0.0,3.0,3.0,False,
clock,valve1__15,valve1,labelled,21,18,18,0,2.0,0.7,,10.0,17.0,7.0,7.0,True,0.0,3.0,3.0,False,
clock,valve1__2,valve1,labelled,20,17,17,0,2.0,0.7273,,11.0,16.0,8.0,8.0,True,0.0,3.0,3.0,False,
clock,valve1__3,valve1,labelled,21,18,18,0,2.0,0.7,,10.0,17.0,7.0,7.0,True,0.0,3.0,3.0,False,
clock,valve1__4,valve1,labelled,20,17,17,0,2.0,0.7,,10.0,16.0,7.0,7.0,True,0.0,3.0,3.0,False,
clock,valve1__5,valve1,labelled,20,17,17,0,2.0,0.7,,10.0,16.0,7.0,7.0,True,0.0,3.0,3.0,False,
clock,valve1__6,valve1,labelled,20,17,17,0,2.0,0.7778,,10.0,17.0,7.0,7.0,True,0.0,2.0,2.0,False,
clock,valve1__7,valve1,labelled,21,18,18,0,2.0,0.7,,10.0,17.0,7.0,7.0,True,0.0,3.0,3.0,False,
clock,valve1__8,valve1,labelled,20,17,17,0,2.0,0.6667,,9.0,16.0,6.0,6.0,True,0.0,3.0,3.0,False,
clock,valve1__9,valve1,labelled,21,18,18,0,2.0,0.7,,10.0,17.0,7.0,7.0,True,0.0,3.0,3.0,False,
clock,valve2__0,valve2,labelled,20,17,17,0,2.0,0.7,,10.0,16.0,7.0,7.0,True,0.0,3.0,3.0,False,
clock,valve2__1,valve2,labelled,21,18,18,0,2.0,0.5972,,10.0,16.0,7.0,7.0,True,0.0,4.0,4.0,False,
clock,valve2__2,valve2,labelled,20,17,17,0,2.0,0.7,,10.0,16.0,7.0,7.0,True,0.0,3.0,3.0,False,
clock,valve2__3,valve2,labelled,18,15,15,0,2.0,1.0,,10.0,17.0,7.0,7.0,True,0.0,0.0,0.0,,
mspc_spe,anomaly-free__anomaly-free,anomaly-free,anomaly_free,167,164,0,164,,,record carries one class only in its scored stream windows,,,,,,,,,,"baseline window refused: window 0: every stream window refused, so no fitted model scores the baseline; window 1: every stream window refused, so no fitted model scores the baseline; window 2: every stream window refused, so no fitted model scores the baseline"
mspc_spe,other__1,other,labelled,14,11,10,1,0.768,1.0,,9.0,13.0,6.0,6.0,True,0.0,0.0,0.0,,
mspc_spe,other__10,other,labelled,24,21,17,4,0.5843,0.9861,,10.0,20.0,7.0,5.0,True,0.0,1.0,1.0,False,
mspc_spe,other__11,other,labelled,21,18,13,5,0.6071,1.0,,10.0,17.0,5.0,5.0,True,0.0,0.0,0.0,False,
mspc_spe,other__12,other,labelled,21,18,0,18,,,no scored stream window,10.0,17.0,,,,,,,,"baseline window refused: window 0: every stream window refused, so no fitted model scores the baseline; window 1: every stream window refused, so no fitted model scores the baseline; window 2: every stream window refused, so no fitted model scores the baseline"
mspc_spe,other__13,other,labelled,19,16,0,16,,,no scored stream window,9.0,15.0,,,,,,,,"baseline window refused: window 0: every stream window refused, so no fitted model scores the baseline; window 1: every stream window refused, so no fitted model scores the baseline; window 2: every stream window refused, so no fitted model scores the baseline"
mspc_spe,other__14,other,labelled,16,13,11,2,1.057,1.0,,10.0,15.0,6.0,1.0,True,0.0,0.0,0.0,,
mspc_spe,other__2,other,labelled,18,15,0,15,,,no scored stream window,5.0,12.0,,,,,,,,"baseline window refused: window 0: every stream window refused, so no fitted model scores the baseline; window 1: every stream window refused, so no fitted model scores the baseline; window 2: every stream window refused, so no fitted model scores the baseline"
mspc_spe,other__3,other,labelled,20,17,13,4,0.5196,0.881,,9.0,16.0,5.0,4.0,True,0.0,2.0,2.0,False,
mspc_spe,other__4,other,labelled,21,18,14,4,1.449,1.0,,14.0,20.0,9.0,6.0,True,1.0,0.0,0.0,,
mspc_spe,other__5,other,labelled,21,18,17,1,0.5001,0.8056,,10.0,17.0,7.0,4.0,True,0.0,2.0,2.0,False,
mspc_spe,other__6,other,labelled,21,18,17,1,0.5041,0.9583,,10.0,17.0,7.0,3.0,True,0.0,2.0,2.0,False,
mspc_spe,other__7,other,labelled,20,17,16,1,0.5168,0.6825,,10.0,16.0,7.0,5.0,True,1.0,2.0,2.0,False,
mspc_spe,other__8,other,labelled,21,18,17,1,0.6603,0.4444,,10.0,17.0,7.0,7.0,True,0.0,2.0,2.0,False,
mspc_spe,other__9,other,labelled,20,17,16,1,0.4922,0.9375,,9.0,16.0,6.0,5.0,True,0.0,2.0,2.0,False,
mspc_spe,valve1__0,valve1,labelled,20,17,17,0,0.1068,0.8143,,10.0,16.0,7.0,7.0,True,0.0,3.0,3.0,False,
mspc_spe,valve1__1,valve1,labelled,21,18,17,1,0.1319,0.5417,,10.0,17.0,7.0,7.0,True,0.0,2.0,2.0,False,
mspc_spe,valve1__10,valve1,labelled,20,17,17,0,0.5646,0.9857,,10.0,16.0,7.0,7.0,True,0.0,3.0,0.0,True,
mspc_spe,valve1__11,valve1,labelled,21,18,15,3,0.156,0.1964,,10.0,17.0,7.0,7.0,True,1.0,1.0,1.0,False,
mspc_spe,valve1__12,valve1,labelled,21,18,15,3,0.3427,0.9286,,10.0,17.0,7.0,6.0,True,0.0,1.0,1.0,False,
mspc_spe,valve1__13,valve1,labelled,20,17,17,0,1.7684,1.0,,10.0,16.0,7.0,3.0,True,0.0,3.0,2.0,False,
mspc_spe,valve1__14,valve1,labelled,20,17,0,17,,,no scored stream window,10.0,16.0,,,,,,,,"baseline window refused: window 0: every stream window refused, so no fitted model scores the baseline; window 1: every stream window refused, so no fitted model scores the baseline; window 2: every stream window refused, so no fitted model scores the baseline"
mspc_spe,valve1__15,valve1,labelled,21,18,17,1,0.3026,0.9722,,10.0,17.0,7.0,7.0,True,0.0,2.0,2.0,False,
